Serialnumber ; Date ; Time ; Action ; Date of Manufacture ; Manufacturer ; Battery Name ; Device-Chemistry ; Specification-Info ; Design-Capacity [mAh] ; Design-Voltage [mV] ; Battery Status ; Cycle Count ; SOC [%] ; Relativ SOC[%] ; Desired Voltage [mV]; Desired Current [mA]; Cell Voltage 1 [mV] ; Cell Voltage 2 [mV] ; Max_Error [%] ; Busvoltage[mV] ; Battery Temperature [°C] ; Charger Temperature [°C] ; Batterysystem ; Case ; PLace
007600;13.12.2019;13:53:33;Fastcharge    ;23.10.2017;FEY;;LION;49;14500;7200;2768;8;;;8400;3000;3050;3062;1;13022;22.44;32.64;35,8;BCS1388054;7;11
007600;13.12.2019;13:55:00;Stop          ;23.10.2017;FEY;;LION;49;14500;7200;2768;8;;;8400;3000;3050;3062;1;12745;22.84;32.54;36,1;BCS1388054;7;11
007600;13.12.2019;13:55:04;Charge to 10% ;23.10.2017;FEY;;LION;49;14500;7200;2768;8;;;8400;3000;3050;3062;1;13020;22.84;32.54;36,1;BCS1388054;7;11
007600;13.12.2019;13:55:27;Stop          ;23.10.2017;FEY;;LION;49;14500;7200;144;8;;;8400;3000;3051;3065;1;13396;22.84;32.14;36,1;BCS1388054;7;11
007600;13.12.2019;13:55:29;Fastcharge    ;23.10.2017;FEY;;LION;49;14500;7200;144;8;;;8400;3000;3073;3077;1;13383;22.94;32.14;36,1;BCS1388054;7;11
007600;13.12.2019;13:55:29;Stop          ;23.10.2017;FEY;;LION;49;14500;7200;144;8;;;8400;3000;3073;3077;1;13383;22.94;32.14;36,1;BCS1388054;7;11
007600;13.12.2019;13:55:33;Normalcharge  ;23.10.2017;FEY;;LION;49;14500;7200;144;8;;;8400;3000;3073;3077;1;13033;22.94;32.14;36,1;BCS1388054;7;11
007600;13.12.2019;13:55:39;Fastcharge    ;23.10.2017;FEY;;LION;49;14500;7200;144;8;;;8400;3000;3057;3072;1;13002;22.94;32.04;36,1;BCS1388054;7;11
007600;13.12.2019;13:55:39;Stop          ;23.10.2017;FEY;;LION;49;14500;7200;144;8;;;8400;3000;3057;3072;1;13002;22.94;32.04;36,1;BCS1388054;7;11
007600;13.12.2019;13:56:34;Stop          ;23.10.2017;FEY;;LION;49;14500;7200;144;8;;;8400;3000;3273;3212;1;12710;23.14;33.24;36,2;BCS1388054;7;11
007600;13.12.2019;13:56:38;Charge to 95% ;23.10.2017;FEY;;LION;49;14500;7200;144;8;;;8400;3000;3278;3219;1;13021;23.24;33.34;36,2;BCS1388054;7;11
007600;13.12.2019;13:56:40;Stop          ;23.10.2017;FEY;;LION;49;14500;7200;144;8;;;8400;3000;3278;3219;1;13021;23.24;33.34;36,2;BCS1388054;7;11
007600;13.12.2019;13:56:48;Charge to 90% ;23.10.2017;FEY;;LION;49;14500;7200;144;8;;;8400;3000;3106;3117;1;13022;23.24;32.84;36,2;BCS1388054;7;11
007600;13.12.2019;15:42:54;Stop          ;23.10.2017;FEY;;LION;49;14500;7200;128;8;22;23;8400;3000;3606;3560;1;12961;30.44;33.34;34,5;BCS1388054;7;11
007600;13.12.2019;15:42:59;Fastcharge    ;23.10.2017;FEY;;LION;49;14500;7200;128;8;22;23;8400;3000;3606;3560;1;13022;30.44;33.34;34,4;BCS1388054;7;11
007600;13.12.2019;21:04:43;Stop          ;23.10.2017;FEY;;LION;49;14500;7200;224;8;95;100;8400;;4164;4164;1;13024;27.14;27.14;31,7;BCS1388054;7;11
