Serialnumber ; Date ; Time ; Action ; Date of Manufacture ; Manufacturer ; Battery Name ; Device-Chemistry ; Specification-Info ; Design-Capacity [mAh] ; Design-Voltage [mV] ; Battery Status ; Cycle Count ; SOC [%] ; Relativ SOC[%] ; Desired Voltage [mV]; Desired Current [mA]; Cell Voltage 1 [mV] ; Cell Voltage 2 [mV] ; Max_Error [%] ; Busvoltage[mV] ; Battery Temperature [°C] ; Charger Temperature [°C] ; Batterysystem ; Case ; PLace
007654;13.12.2019;13:53:33;Fastcharge    ;19.10.2017;FEY;;LION;49;14500;7200;192;5;88;94;8400;3000;4059;4059;1;13034;22.74;33.04;35,8;BCS1388054;7;5
007654;13.12.2019;13:55:00;Stop          ;19.10.2017;FEY;;LION;49;14500;7200;128;5;88;94;8400;3000;4126;4099;1;12767;23.14;33.94;36,1;BCS1388054;7;5
007654;13.12.2019;13:55:04;Charge to 10% ;19.10.2017;FEY;;LION;49;14500;7200;128;5;88;94;8400;3000;4128;4101;1;13033;23.14;33.84;36,1;BCS1388054;7;5
007654;13.12.2019;13:55:27;Stop          ;19.10.2017;FEY;;LION;49;14500;7200;128;5;88;94;8400;3000;4068;4067;1;13381;23.24;32.84;36,1;BCS1388054;7;5
007654;13.12.2019;13:55:29;Fastcharge    ;19.10.2017;FEY;;LION;49;14500;7200;192;5;88;94;8400;3000;4060;4066;1;13464;23.34;32.74;36,1;BCS1388054;7;5
007654;13.12.2019;13:55:29;Stop          ;19.10.2017;FEY;;LION;49;14500;7200;192;5;88;94;8400;3000;4060;4066;1;13464;23.34;32.74;36,1;BCS1388054;7;5
007654;13.12.2019;13:55:33;Normalcharge  ;19.10.2017;FEY;;LION;49;14500;7200;192;5;88;94;8400;3000;4060;4066;1;13339;23.34;32.74;36,1;BCS1388054;7;5
007654;13.12.2019;13:55:39;Fastcharge    ;19.10.2017;FEY;;LION;49;14500;7200;192;5;88;94;8400;3000;3984;4025;1;13021;23.34;32.84;36,1;BCS1388054;7;5
007654;13.12.2019;13:55:39;Stop          ;19.10.2017;FEY;;LION;49;14500;7200;192;5;88;94;8400;3000;3984;4025;1;13021;23.34;32.84;36,1;BCS1388054;7;5
007654;13.12.2019;13:56:34;Stop          ;19.10.2017;FEY;;LION;49;14500;7200;128;5;88;94;8400;3000;4124;4096;1;12745;23.54;33.24;36,2;BCS1388054;7;5
007654;13.12.2019;13:56:38;Charge to 95% ;19.10.2017;FEY;;LION;49;14500;7200;128;5;88;94;8400;3000;4124;4096;1;13034;23.54;33.24;36,2;BCS1388054;7;5
007654;13.12.2019;13:56:40;Stop          ;19.10.2017;FEY;;LION;49;14500;7200;128;5;88;94;8400;3000;4124;4096;1;13035;23.54;33.24;36,2;BCS1388054;7;5
007654;13.12.2019;13:56:48;Charge to 90% ;19.10.2017;FEY;;LION;49;14500;7200;128;5;88;94;8400;3000;4068;4070;1;13034;23.54;32.94;36,2;BCS1388054;7;5
007654;13.12.2019;15:42:54;Stop          ;19.10.2017;FEY;;LION;49;14500;7200;192;5;85;90;8400;3000;4024;4024;1;12975;29.34;30.74;34,5;BCS1388054;7;5
007654;13.12.2019;15:42:59;Fastcharge    ;19.10.2017;FEY;;LION;49;14500;7200;192;5;85;90;8400;3000;4024;4024;1;13036;29.34;30.64;34,4;BCS1388054;7;5
007654;13.12.2019;21:04:43;Stop          ;19.10.2017;FEY;;LION;49;14500;7200;224;5;95;100;8400;;4152;4153;1;13036;27.24;27.84;31,7;BCS1388054;7;5
