Serialnumber ; Date ; Time ; Action ; Date of Manufacture ; Manufacturer ; Battery Name ; Device-Chemistry ; Specification-Info ; Design-Capacity [mAh] ; Design-Voltage [mV] ; Battery Status ; Cycle Count ; SOC [%] ; Relativ SOC[%] ; Desired Voltage [mV]; Desired Current [mA]; Cell Voltage 1 [mV] ; Cell Voltage 2 [mV] ; Max_Error [%] ; Busvoltage[mV] ; Battery Temperature [°C] ; Charger Temperature [°C] ; Batterysystem ; Case ; PLace
007582;13.12.2019;13:53:33;Fastcharge    ;23.10.2017;FEY;;LION;49;14500;7200;192;17;93;98;8400;3000;4117;4118;1;13027;22.94;31.04;35,8;BCS1388054;7;6
007582;13.12.2019;13:55:00;Stop          ;23.10.2017;FEY;;LION;49;14500;7200;128;17;93;98;8400;3000;4160;4149;1;12758;23.34;31.64;36,1;BCS1388054;7;6
007582;13.12.2019;13:55:04;Charge to 10% ;23.10.2017;FEY;;LION;49;14500;7200;128;17;93;98;8400;3000;4163;4152;1;13026;23.34;31.64;36,1;BCS1388054;7;6
007582;13.12.2019;13:55:27;Stop          ;23.10.2017;FEY;;LION;49;14500;7200;128;17;93;98;8400;3000;4122;4127;1;13384;23.44;30.84;36,1;BCS1388054;7;6
007582;13.12.2019;13:55:29;Fastcharge    ;23.10.2017;FEY;;LION;49;14500;7200;192;17;93;98;8400;3000;4073;4095;1;13473;23.44;30.84;36,1;BCS1388054;7;6
007582;13.12.2019;13:55:29;Stop          ;23.10.2017;FEY;;LION;49;14500;7200;192;17;93;98;8400;3000;4073;4095;1;13473;23.44;30.84;36,1;BCS1388054;7;6
007582;13.12.2019;13:55:33;Normalcharge  ;23.10.2017;FEY;;LION;49;14500;7200;192;17;93;98;8400;3000;4073;4095;1;13326;23.44;30.94;36,1;BCS1388054;7;6
007582;13.12.2019;13:55:39;Fastcharge    ;23.10.2017;FEY;;LION;49;14500;7200;192;17;93;98;8400;3000;4119;4120;1;13013;23.54;30.94;36,1;BCS1388054;7;6
007582;13.12.2019;13:55:39;Stop          ;23.10.2017;FEY;;LION;49;14500;7200;192;17;93;98;8400;3000;4119;4120;1;13013;23.54;30.94;36,1;BCS1388054;7;6
007582;13.12.2019;13:56:34;Stop          ;23.10.2017;FEY;;LION;49;14500;7200;128;17;94;98;8400;3000;4156;4148;1;12744;23.74;31.34;36,2;BCS1388054;7;6
007582;13.12.2019;13:56:38;Charge to 95% ;23.10.2017;FEY;;LION;49;14500;7200;128;17;94;98;8400;3000;4156;4148;1;13028;23.74;31.34;36,2;BCS1388054;7;6
007582;13.12.2019;13:56:40;Stop          ;23.10.2017;FEY;;LION;49;14500;7200;128;17;94;98;8400;3000;4124;4129;1;13026;23.74;31.24;36,2;BCS1388054;7;6
007582;13.12.2019;13:56:48;Charge to 90% ;23.10.2017;FEY;;LION;49;14500;7200;128;17;94;98;8400;3000;4124;4129;1;13028;23.74;31.04;36,2;BCS1388054;7;6
007582;13.12.2019;15:42:54;Stop          ;23.10.2017;FEY;;LION;49;14500;7200;192;17;86;90;8400;3000;4045;4044;1;12969;29.44;29.04;34,5;BCS1388054;7;6
007582;13.12.2019;15:42:59;Fastcharge    ;23.10.2017;FEY;;LION;49;14500;7200;192;17;86;90;8400;3000;4045;4044;1;13028;29.44;29.04;34,4;BCS1388054;7;6
007582;13.12.2019;21:04:43;Stop          ;23.10.2017;FEY;;LION;49;14500;7200;224;17;95;100;8400;;4150;4150;1;13029;27.24;26.34;31,7;BCS1388054;7;6
