Serialnumber ; Date ; Time ; Action ; Date of Manufacture ; Manufacturer ; Battery Name ; Device-Chemistry ; Specification-Info ; Design-Capacity [mAh] ; Design-Voltage [mV] ; Battery Status ; Cycle Count ; SOC [%] ; Relativ SOC[%] ; Desired Voltage [mV]; Desired Current [mA]; Cell Voltage 1 [mV] ; Cell Voltage 2 [mV] ; Max_Error [%] ; Busvoltage[mV] ; Battery Temperature [°C] ; Charger Temperature [°C] ; Batterysystem ; Case ; PLace
001039;13.12.2019;13:53:33;Fastcharge    ;28.11.2017;FEY;;LION;49;14500;7200;192;16;89;95;8400;3000;4091;4091;1;13032;21.74;35.44;35,8;BCS1388054;7;8
001039;13.12.2019;13:55:00;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;128;16;89;95;8400;3000;4149;4127;1;12773;22.04;35.94;36,1;BCS1388054;7;8
001039;13.12.2019;13:55:04;Charge to 10% ;28.11.2017;FEY;;LION;49;14500;7200;128;16;89;95;8400;3000;4147;4126;1;13031;22.04;35.94;36,1;BCS1388054;7;8
001039;13.12.2019;13:55:27;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;128;16;89;95;8400;3000;4097;4099;1;13402;22.14;34.94;36,1;BCS1388054;7;8
001039;13.12.2019;13:55:29;Fastcharge    ;28.11.2017;FEY;;LION;49;14500;7200;192;16;88;95;8400;3000;4038;4068;1;13460;22.24;35.04;36,1;BCS1388054;7;8
001039;13.12.2019;13:55:29;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;192;16;88;95;8400;3000;4038;4068;1;13460;22.24;35.04;36,1;BCS1388054;7;8
001039;13.12.2019;13:55:33;Normalcharge  ;28.11.2017;FEY;;LION;49;14500;7200;192;16;88;95;8400;3000;4038;4068;1;12985;22.24;35.04;36,1;BCS1388054;7;8
001039;13.12.2019;13:55:39;Fastcharge    ;28.11.2017;FEY;;LION;49;14500;7200;192;16;88;95;8400;3000;4094;4094;1;13016;22.24;35.04;36,1;BCS1388054;7;8
001039;13.12.2019;13:55:39;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;192;16;88;95;8400;3000;4094;4094;1;13016;22.24;35.04;36,1;BCS1388054;7;8
001039;13.12.2019;13:56:34;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;128;16;88;95;8400;3000;4147;4126;1;12756;22.44;35.34;36,2;BCS1388054;7;8
001039;13.12.2019;13:56:38;Charge to 95% ;28.11.2017;FEY;;LION;49;14500;7200;128;16;88;95;8400;3000;4145;4125;1;13032;22.44;35.34;36,2;BCS1388054;7;8
001039;13.12.2019;13:56:40;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;128;16;88;95;8400;3000;4100;4102;1;13031;22.44;35.34;36,2;BCS1388054;7;8
001039;13.12.2019;13:56:48;Charge to 90% ;28.11.2017;FEY;;LION;49;14500;7200;128;16;88;95;8400;3000;4100;4102;1;13032;22.44;35.04;36,2;BCS1388054;7;8
001039;13.12.2019;15:42:54;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;192;16;84;90;8400;3000;4047;4047;1;12982;28.74;31.84;34,5;BCS1388054;7;8
001039;13.12.2019;15:42:59;Fastcharge    ;28.11.2017;FEY;;LION;49;14500;7200;192;16;84;90;8400;3000;4047;4047;1;13032;28.74;31.94;34,4;BCS1388054;7;8
001039;13.12.2019;21:04:43;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;224;16;94;100;8400;;4153;4153;1;13033;26.84;29.14;31,7;BCS1388054;7;8
