Serialnumber ; Date ; Time ; Action ; Date of Manufacture ; Manufacturer ; Battery Name ; Device-Chemistry ; Specification-Info ; Design-Capacity [mAh] ; Design-Voltage [mV] ; Battery Status ; Cycle Count ; SOC [%] ; Relativ SOC[%] ; Desired Voltage [mV]; Desired Current [mA]; Cell Voltage 1 [mV] ; Cell Voltage 2 [mV] ; Max_Error [%] ; Busvoltage[mV] ; Battery Temperature [°C] ; Charger Temperature [°C] ; Batterysystem ; Case ; PLace
009755;12.01.2021;04:16:00;Charge to 90% ;04.12.2018;FEY;;LION;49;14500;7200;16576;2;98;98;;;4131;4131;1;13013;23.24;22.34;23,0;BCS1388054;1;6
009755;12.01.2021;04:16:03;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;16576;2;98;98;;;4131;4131;1;13013;23.24;23.64;23,0;BCS1388054;1;6
009755;12.01.2021;04:17:15;Charge to 90% ;04.12.2018;FEY;;LION;49;14500;7200;16576;2;98;98;;;4131;4132;1;13011;23.34;24.14;23,5;BCS1388054;1;6
009755;12.01.2021;04:55:18;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;192;2;90;90;8400;3000;3949;3999;1;13006;27.34;31.54;31,7;BCS1388054;1;6
009755;12.01.2021;05:21:33;Cycle         ;04.12.2018;FEY;;LION;49;14500;7200;192;2;90;90;8400;3000;4054;4054;1;13007;27.24;27.34;30,6;BCS1388054;1;6
009755;13.01.2021;08:18:34;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;224;3;97;99;8400;;4154;4155;1;13006;26.74;27.34;30,7;BCS1388054;1;6
009755;06.04.2021;08:38:50;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;192;3;95;98;8400;;4115;4115;1;13005;20.94;24.04;28,1;BCS1388054;3;11
009755;06.04.2021;08:39:42;Stop           ;04.12.2018;FEY;;LION;49;14500;7200;192;3;95;98;8400;;4115;4115;1;13003;21.04;24.24;28,2;BCS1388054;3;11
009755;08.04.2021;07:58:01;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;192;3;95;98;8400;;4115;4115;1;13006;25.54;24.44;26,4;BCS1388054;3;11
009755;08.04.2021;07:59:40;Stop           ;04.12.2018;FEY;;LION;49;14500;7200;192;3;95;98;8400;;4115;4115;1;13004;25.54;24.84;26,8;BCS1388054;3;11
