Serialnumber ; Date ; Time ; Action ; Date of Manufacture ; Manufacturer ; Battery Name ; Device-Chemistry ; Specification-Info ; Design-Capacity [mAh] ; Design-Voltage [mV] ; Battery Status ; Cycle Count ; SOC [%] ; Relativ SOC[%] ; Desired Voltage [mV]; Desired Current [mA]; Cell Voltage 1 [mV] ; Cell Voltage 2 [mV] ; Max_Error [%] ; Busvoltage[mV] ; Battery Temperature [°C] ; Charger Temperature [°C] ; Batterysystem ; Case ; PLace
000126;13.12.2019;13:53:33;Fastcharge    ;28.11.2017;FEY;;LION;49;14500;7200;192;9;18;19;8400;3000;3450;3448;1;13025;22.14;34.54;35,8;BCS1388054;7;18
000126;13.12.2019;13:55:00;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;128;9;18;19;8400;3000;3592;3521;1;12738;22.74;37.24;36,1;BCS1388054;7;18
000126;13.12.2019;13:55:04;Charge to 10% ;28.11.2017;FEY;;LION;49;14500;7200;128;9;18;19;8400;3000;3594;3520;1;13024;22.74;37.34;36,1;BCS1388054;7;18
000126;13.12.2019;13:55:27;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;192;9;16;17;8400;3000;3411;3438;1;13446;22.94;35.74;36,1;BCS1388054;7;18
000126;13.12.2019;13:55:29;Fastcharge    ;28.11.2017;FEY;;LION;49;14500;7200;192;9;16;17;8400;3000;3411;3438;1;13446;22.94;35.74;36,1;BCS1388054;7;18
000126;13.12.2019;13:55:29;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;192;9;16;17;8400;3000;3411;3438;1;13446;22.94;35.74;36,1;BCS1388054;7;18
000126;13.12.2019;13:55:33;Normalcharge  ;28.11.2017;FEY;;LION;49;14500;7200;192;9;16;17;8400;3000;3411;3438;1;13025;22.94;35.74;36,1;BCS1388054;7;18
000126;13.12.2019;13:55:39;Fastcharge    ;28.11.2017;FEY;;LION;49;14500;7200;192;9;16;17;8400;3000;3460;3458;1;12999;22.94;35.64;36,1;BCS1388054;7;18
000126;13.12.2019;13:55:39;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;192;9;16;17;8400;3000;3460;3458;1;12999;22.94;35.64;36,1;BCS1388054;7;18
000126;13.12.2019;13:56:34;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;128;9;16;17;8400;3000;3594;3520;1;12719;23.34;36.74;36,2;BCS1388054;7;18
000126;13.12.2019;13:56:38;Charge to 95% ;28.11.2017;FEY;;LION;49;14500;7200;128;9;16;17;8400;3000;3594;3520;1;13026;23.34;36.84;36,2;BCS1388054;7;18
000126;13.12.2019;13:56:40;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;128;9;16;17;8400;3000;3594;3520;1;13025;23.34;36.84;36,2;BCS1388054;7;18
000126;13.12.2019;13:56:48;Charge to 90% ;28.11.2017;FEY;;LION;49;14500;7200;128;9;16;17;8400;3000;3468;3467;1;13026;23.34;36.04;36,2;BCS1388054;7;18
000126;13.12.2019;15:42:54;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;128;9;38;40;8400;3000;3714;3659;1;12958;30.74;36.94;34,5;BCS1388054;7;18
000126;13.12.2019;15:42:59;Fastcharge    ;28.11.2017;FEY;;LION;49;14500;7200;128;9;38;40;8400;3000;3712;3661;1;13025;30.74;36.94;34,4;BCS1388054;7;18
000126;13.12.2019;21:04:43;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;224;9;94;100;8400;;4155;4152;1;13027;26.84;27.84;31,7;BCS1388054;7;18
