Serialnumber ; Date ; Time ; Action ; Date of Manufacture ; Manufacturer ; Battery Name ; Device-Chemistry ; Specification-Info ; Design-Capacity [mAh] ; Design-Voltage [mV] ; Battery Status ; Cycle Count ; SOC [%] ; Relativ SOC[%] ; Desired Voltage [mV]; Desired Current [mA]; Cell Voltage 1 [mV] ; Cell Voltage 2 [mV] ; Max_Error [%] ; Busvoltage[mV] ; Battery Temperature [°C] ; Charger Temperature [°C] ; Batterysystem ; Case ; PLace
009583;02.12.2020;11:43:08;Cycle         ;04.12.2018;FEY;;LION;49;14500;7200;192;3;79;80;8400;3000;3929;3929;1;12990;26.14;26.64;28,4;BCS1388054;1;5
009583;03.12.2020;15:31:47;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;224;4;96;100;8400;;4155;4156;1;12991;26.74;27.04;28,8;BCS1388054;1;5
009583;03.12.2020;17:28:02;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;224;4;96;100;8400;;4153;4155;1;12992;26.64;27.04;28,9;BCS1388054;1;5
009583;06.04.2021;08:38:50;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;192;4;93;97;8400;;4101;4102;1;13003;20.84;24.84;28,1;BCS1388054;3;9
009583;06.04.2021;08:39:42;Stop           ;04.12.2018;FEY;;LION;49;14500;7200;192;4;93;97;8400;;4101;4102;1;13004;20.84;25.14;28,2;BCS1388054;3;9
009583;08.04.2021;07:58:01;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;192;4;93;97;8400;;4102;4102;1;13010;25.44;25.24;26,4;BCS1388054;3;9
009583;08.04.2021;07:59:40;Stop           ;04.12.2018;FEY;;LION;49;14500;7200;192;4;93;97;8400;;4102;4102;1;13007;25.44;25.94;26,8;BCS1388054;3;9
009583;08.04.2021;10:35:05;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;192;4;93;97;8400;;4102;4102;1;13005;25.64;25.44;28,1;BCS1388054;3;9
009583;08.04.2021;10:36:56;Stop           ;04.12.2018;FEY;;LION;49;14500;7200;192;4;93;97;8400;;4101;4102;1;13002;25.64;26.34;29,0;BCS1388054;3;9
009583;18.04.2021;08:33:50;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;192;4;93;97;8400;;4099;4099;1;13007;26.34;26.74;27,8;BCS1388054;3;9
009583;18.04.2021;08:33:58;Stop           ;04.12.2018;FEY;;LION;49;14500;7200;192;4;93;97;8400;;4099;4099;1;13008;26.34;26.74;27,9;BCS1388054;3;9
009583;04.08.2021;07:24:50;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;192;4;93;97;8400;;4071;4072;1;13001;30.54;30.84;31,6;BCS1388054;3;9
009583;04.08.2021;07:25:37;Stop           ;04.12.2018;FEY;;LION;49;14500;7200;192;4;93;97;8400;;4071;4072;1;12999;30.54;31.14;31,7;BCS1388054;3;9
009583;22.08.2021;11:08:08;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;2768;5;;;8400;3000;3108;3113;1;13008;22.64;29.04;32,1;BCS1388054;5;9
009583;22.08.2021;11:08:41;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;2768;5;;;8400;3000;3108;3113;1;12868;22.74;30.14;32,5;BCS1388054;5;9
009583;25.08.2021;08:13:04;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;720;5;;;8400;3000;3110;3114;1;13023;30.54;31.24;32,4;BCS1388054;7;4
009583;25.08.2021;08:13:16;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;720;5;;;8400;3000;3110;3115;1;13011;30.54;31.54;32,5;BCS1388054;7;4
009583;25.08.2021;08:14:41;Charge to 60% ;04.12.2018;FEY;;LION;49;14500;7200;720;5;;;8400;3000;3110;3115;1;13021;30.54;31.54;33,0;BCS1388054;7;4
009583;25.08.2021;08:37:46;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;144;5;;;8400;3000;3471;3417;1;12750;31.74;38.24;36,1;BCS1388054;7;4
009583;25.08.2021;08:38:03;Charge to 60% ;04.12.2018;FEY;;LION;49;14500;7200;144;5;;;8400;3000;3376;3376;1;13021;31.84;37.24;36,1;BCS1388054;7;4
009583;25.08.2021;13:26:36;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;192;5;54;60;8400;3000;3795;3796;1;13020;33.44;33.44;36,4;BCS1388054;7;4
009583;01.11.2021;09:51:55;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;192;5;56;59;8400;3000;3738;3738;1;12999;25.94;25.44;26,3;BCS1388054;6;1
009583;01.11.2021;09:53:45;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;128;5;56;59;8400;3000;3831;3786;1;12639;26.04;29.74;27,3;BCS1388054;6;1
009583;01.11.2021;10:02:24;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;192;5;56;59;8400;3000;3744;3744;1;12994;26.14;28.04;29,5;BCS1388054;6;1
009583;01.11.2021;10:03:07;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;128;5;57;59;8400;3000;3827;3780;1;12644;26.14;29.44;29,3;BCS1388054;6;1
