Serialnumber ; Date ; Time ; Action ; Date of Manufacture ; Manufacturer ; Battery Name ; Device-Chemistry ; Specification-Info ; Design-Capacity [mAh] ; Design-Voltage [mV] ; Battery Status ; Cycle Count ; SOC [%] ; Relativ SOC[%] ; Desired Voltage [mV]; Desired Current [mA]; Cell Voltage 1 [mV] ; Cell Voltage 2 [mV] ; Max_Error [%] ; Busvoltage[mV] ; Battery Temperature [°C] ; Charger Temperature [°C] ; Batterysystem ; Case ; PLace
007590;13.12.2019;13:53:33;Fastcharge    ;23.10.2017;FEY;;LION;49;14500;7200;192;5;61;67;8400;3000;3839;3838;1;13022;22.44;35.14;35,8;BCS1388054;7;17
007590;13.12.2019;13:55:00;Stop          ;23.10.2017;FEY;;LION;49;14500;7200;128;5;61;67;8400;3000;3963;3898;1;12737;22.84;37.44;36,1;BCS1388054;7;17
007590;13.12.2019;13:55:04;Charge to 10% ;23.10.2017;FEY;;LION;49;14500;7200;128;5;61;67;8400;3000;3964;3900;1;13021;22.84;37.44;36,1;BCS1388054;7;17
007590;13.12.2019;13:55:27;Stop          ;23.10.2017;FEY;;LION;49;14500;7200;192;5;63;68;8400;3000;3810;3833;1;13427;23.04;35.94;36,1;BCS1388054;7;17
007590;13.12.2019;13:55:29;Fastcharge    ;23.10.2017;FEY;;LION;49;14500;7200;192;5;63;68;8400;3000;3810;3833;1;13427;23.04;35.94;36,1;BCS1388054;7;17
007590;13.12.2019;13:55:29;Stop          ;23.10.2017;FEY;;LION;49;14500;7200;192;5;63;68;8400;3000;3810;3833;1;13427;23.04;35.94;36,1;BCS1388054;7;17
007590;13.12.2019;13:55:33;Normalcharge  ;23.10.2017;FEY;;LION;49;14500;7200;192;5;63;68;8400;3000;3810;3833;1;13041;23.04;36.04;36,1;BCS1388054;7;17
007590;13.12.2019;13:55:39;Fastcharge    ;23.10.2017;FEY;;LION;49;14500;7200;192;5;63;68;8400;3000;3847;3846;1;12995;23.04;35.94;36,1;BCS1388054;7;17
007590;13.12.2019;13:55:39;Stop          ;23.10.2017;FEY;;LION;49;14500;7200;192;5;63;68;8400;3000;3847;3846;1;12995;23.04;35.94;36,1;BCS1388054;7;17
007590;13.12.2019;13:56:34;Stop          ;23.10.2017;FEY;;LION;49;14500;7200;128;5;64;68;8400;3000;3964;3899;1;12701;23.34;37.24;36,2;BCS1388054;7;17
007590;13.12.2019;13:56:38;Charge to 95% ;23.10.2017;FEY;;LION;49;14500;7200;128;5;64;68;8400;3000;3965;3899;1;13021;23.34;37.34;36,2;BCS1388054;7;17
007590;13.12.2019;13:56:40;Stop          ;23.10.2017;FEY;;LION;49;14500;7200;128;5;64;68;8400;3000;3965;3899;1;13023;23.34;37.24;36,2;BCS1388054;7;17
007590;13.12.2019;13:56:48;Charge to 90% ;23.10.2017;FEY;;LION;49;14500;7200;128;5;64;68;8400;3000;3853;3854;1;13023;23.34;36.54;36,2;BCS1388054;7;17
007590;13.12.2019;15:42:54;Stop          ;23.10.2017;FEY;;LION;49;14500;7200;192;5;83;90;8400;3000;4035;4035;1;12957;30.84;32.54;34,5;BCS1388054;7;17
007590;13.12.2019;15:42:59;Fastcharge    ;23.10.2017;FEY;;LION;49;14500;7200;192;5;83;90;8400;3000;4035;4035;1;13022;30.84;32.44;34,4;BCS1388054;7;17
007590;13.12.2019;21:04:43;Stop          ;23.10.2017;FEY;;LION;49;14500;7200;224;5;93;100;8400;;4155;4155;1;13024;27.44;28.74;31,7;BCS1388054;7;17
