Serialnumber ; Date ; Time ; Action ; Date of Manufacture ; Manufacturer ; Battery Name ; Device-Chemistry ; Specification-Info ; Design-Capacity [mAh] ; Design-Voltage [mV] ; Battery Status ; Cycle Count ; SOC [%] ; Relativ SOC[%] ; Desired Voltage [mV]; Desired Current [mA]; Cell Voltage 1 [mV] ; Cell Voltage 2 [mV] ; Max_Error [%] ; Busvoltage[mV] ; Battery Temperature [°C] ; Charger Temperature [°C] ; Batterysystem ; Case ; PLace
001017;13.12.2019;13:53:33;Fastcharge    ;28.11.2017;FEY;;LION;49;14500;7200;192;24;94;98;8400;3000;4109;4108;1;13029;22.04;35.44;35,8;BCS1388054;7;13
001017;13.12.2019;13:55:00;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;128;24;94;98;8400;3000;4158;4139;1;12778;22.54;36.44;36,1;BCS1388054;7;13
001017;13.12.2019;13:55:04;Charge to 10% ;28.11.2017;FEY;;LION;49;14500;7200;128;24;94;98;8400;3000;4157;4139;1;13027;22.54;36.44;36,1;BCS1388054;7;13
001017;13.12.2019;13:55:27;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;128;24;94;98;8400;3000;4115;4115;1;13416;22.64;35.44;36,1;BCS1388054;7;13
001017;13.12.2019;13:55:29;Fastcharge    ;28.11.2017;FEY;;LION;49;14500;7200;192;24;94;98;8400;3000;4080;4096;1;13382;22.64;35.44;36,1;BCS1388054;7;13
001017;13.12.2019;13:55:29;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;192;24;94;98;8400;3000;4080;4096;1;13382;22.64;35.44;36,1;BCS1388054;7;13
001017;13.12.2019;13:55:33;Normalcharge  ;28.11.2017;FEY;;LION;49;14500;7200;192;24;94;98;8400;3000;4080;4096;1;13040;22.64;35.54;36,1;BCS1388054;7;13
001017;13.12.2019;13:55:39;Fastcharge    ;28.11.2017;FEY;;LION;49;14500;7200;192;24;94;98;8400;3000;4107;4107;1;13007;22.74;35.54;36,1;BCS1388054;7;13
001017;13.12.2019;13:55:39;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;192;24;94;98;8400;3000;4107;4107;1;13007;22.74;35.54;36,1;BCS1388054;7;13
001017;13.12.2019;13:56:34;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;128;24;94;98;8400;3000;4156;4138;1;12757;22.94;36.04;36,2;BCS1388054;7;13
001017;13.12.2019;13:56:38;Charge to 95% ;28.11.2017;FEY;;LION;49;14500;7200;128;24;94;98;8400;3000;4156;4138;1;13028;22.94;36.04;36,2;BCS1388054;7;13
001017;13.12.2019;13:56:40;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;128;24;94;98;8400;3000;4156;4138;1;13028;22.94;36.04;36,2;BCS1388054;7;13
001017;13.12.2019;13:56:48;Charge to 90% ;28.11.2017;FEY;;LION;49;14500;7200;128;24;94;98;8400;3000;4117;4118;1;13028;23.04;35.54;36,2;BCS1388054;7;13
001017;13.12.2019;15:42:54;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;192;24;87;90;8400;3000;4031;4031;1;12978;29.34;31.24;34,5;BCS1388054;7;13
001017;13.12.2019;15:42:59;Fastcharge    ;28.11.2017;FEY;;LION;49;14500;7200;192;24;87;90;8400;3000;4031;4031;1;13029;29.34;31.24;34,4;BCS1388054;7;13
001017;13.12.2019;21:04:43;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;224;24;96;100;8400;;4154;4152;1;13030;27.14;28.54;31,7;BCS1388054;7;13
