Serialnumber ; Date ; Time ; Action ; Date of Manufacture ; Manufacturer ; Battery Name ; Device-Chemistry ; Specification-Info ; Design-Capacity [mAh] ; Design-Voltage [mV] ; Battery Status ; Cycle Count ; SOC [%] ; Relativ SOC[%] ; Desired Voltage [mV]; Desired Current [mA]; Cell Voltage 1 [mV] ; Cell Voltage 2 [mV] ; Max_Error [%] ; Busvoltage[mV] ; Battery Temperature [°C] ; Charger Temperature [°C] ; Batterysystem ; Case ; PLace
001009;13.12.2019;13:53:33;Fastcharge    ;28.11.2017;FEY;;LION;49;14500;7200;192;22;91;96;8400;;4100;4100;1;13020;22.24;34.34;35,8;BCS1388054;7;7
001009;13.12.2019;13:55:00;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;192;22;91;96;8400;;4100;4100;1;12769;22.54;33.34;36,1;BCS1388054;7;7
001009;13.12.2019;13:55:04;Charge to 10% ;28.11.2017;FEY;;LION;49;14500;7200;192;22;91;96;8400;;4100;4100;1;13019;22.54;33.24;36,1;BCS1388054;7;7
001009;13.12.2019;13:55:27;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;192;22;91;96;8400;;4100;4100;1;13385;22.64;33.14;36,1;BCS1388054;7;7
001009;13.12.2019;13:55:29;Fastcharge    ;28.11.2017;FEY;;LION;49;14500;7200;192;22;92;96;8400;;4046;4075;1;13470;22.64;33.24;36,1;BCS1388054;7;7
001009;13.12.2019;13:55:29;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;192;22;92;96;8400;;4046;4075;1;13470;22.64;33.24;36,1;BCS1388054;7;7
001009;13.12.2019;13:55:33;Normalcharge  ;28.11.2017;FEY;;LION;49;14500;7200;192;22;92;96;8400;;4046;4075;1;13266;22.64;33.44;36,1;BCS1388054;7;7
001009;13.12.2019;13:55:39;Fastcharge    ;28.11.2017;FEY;;LION;49;14500;7200;192;22;92;96;8400;;4098;4098;1;13007;22.64;33.54;36,1;BCS1388054;7;7
001009;13.12.2019;13:55:39;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;192;22;92;96;8400;;4098;4098;1;13007;22.64;33.54;36,1;BCS1388054;7;7
001009;13.12.2019;13:56:34;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;192;22;92;96;8400;;4099;4099;1;12755;22.84;32.84;36,2;BCS1388054;7;7
001009;13.12.2019;13:56:38;Charge to 95% ;28.11.2017;FEY;;LION;49;14500;7200;192;22;92;96;8400;;4099;4099;1;13021;22.84;32.84;36,2;BCS1388054;7;7
001009;13.12.2019;13:56:40;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;192;22;92;96;8400;;4100;4099;1;13021;22.84;32.84;36,2;BCS1388054;7;7
001009;13.12.2019;13:56:48;Charge to 90% ;28.11.2017;FEY;;LION;49;14500;7200;192;22;92;96;8400;;4100;4099;1;13020;22.84;32.74;36,2;BCS1388054;7;7
001009;13.12.2019;15:42:54;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;192;22;86;90;8400;3000;4038;4039;1;12971;29.04;31.04;34,5;BCS1388054;7;7
001009;13.12.2019;15:42:59;Fastcharge    ;28.11.2017;FEY;;LION;49;14500;7200;192;22;86;90;8400;3000;4038;4039;1;13021;29.04;31.04;34,4;BCS1388054;7;7
001009;13.12.2019;21:04:43;Stop          ;28.11.2017;FEY;;LION;49;14500;7200;224;22;95;100;8400;;4153;4154;1;13022;26.84;28.44;31,7;BCS1388054;7;7
