Serialnumber ; Date ; Time ; Action ; Date of Manufacture ; Manufacturer ; Battery Name ; Device-Chemistry ; Specification-Info ; Design-Capacity [mAh] ; Design-Voltage [mV] ; Battery Status ; Cycle Count ; SOC [%] ; Relativ SOC[%] ; Desired Voltage [mV]; Desired Current [mA]; Cell Voltage 1 [mV] ; Cell Voltage 2 [mV] ; Max_Error [%] ; Busvoltage[mV] ; Battery Temperature [°C] ; Charger Temperature [°C] ; Batterysystem ; Case ; PLace
007598;13.12.2019;13:53:33;Fastcharge    ;23.10.2017;FEY;;LION;49;14500;7200;2768;6;;;8400;3000;3014;3017;1;13031;22.34;33.74;35,8;BCS1388054;7;16
007598;13.12.2019;13:55:00;Stop          ;23.10.2017;FEY;;LION;49;14500;7200;144;6;1;1;8400;3000;3247;3182;1;12735;22.74;35.34;36,1;BCS1388054;7;16
007598;13.12.2019;13:55:04;Charge to 10% ;23.10.2017;FEY;;LION;49;14500;7200;144;6;1;1;8400;3000;3252;3187;1;13030;22.84;35.34;36,1;BCS1388054;7;16
007598;13.12.2019;13:55:27;Stop          ;23.10.2017;FEY;;LION;49;14500;7200;144;6;1;1;8400;3000;3089;3086;1;13420;22.94;33.94;36,1;BCS1388054;7;16
007598;13.12.2019;13:55:29;Fastcharge    ;23.10.2017;FEY;;LION;49;14500;7200;144;6;1;1;8400;3000;3089;3086;1;13420;22.94;33.94;36,1;BCS1388054;7;16
007598;13.12.2019;13:55:29;Stop          ;23.10.2017;FEY;;LION;49;14500;7200;144;6;1;1;8400;3000;3089;3086;1;13420;22.94;33.94;36,1;BCS1388054;7;16
007598;13.12.2019;13:55:33;Normalcharge  ;23.10.2017;FEY;;LION;49;14500;7200;144;6;1;1;8400;3000;3089;3086;1;13045;22.94;33.94;36,1;BCS1388054;7;16
007598;13.12.2019;13:55:39;Fastcharge    ;23.10.2017;FEY;;LION;49;14500;7200;144;6;1;1;8400;3000;3074;3077;1;13005;22.94;33.84;36,1;BCS1388054;7;16
007598;13.12.2019;13:55:39;Stop          ;23.10.2017;FEY;;LION;49;14500;7200;144;6;1;1;8400;3000;3074;3077;1;13005;22.94;33.84;36,1;BCS1388054;7;16
007598;13.12.2019;13:56:34;Stop          ;23.10.2017;FEY;;LION;49;14500;7200;144;6;2;2;8400;3000;3266;3202;1;12713;23.24;34.84;36,2;BCS1388054;7;16
007598;13.12.2019;13:56:38;Charge to 95% ;23.10.2017;FEY;;LION;49;14500;7200;144;6;2;2;8400;3000;3272;3208;1;13031;23.24;34.94;36,2;BCS1388054;7;16
007598;13.12.2019;13:56:40;Stop          ;23.10.2017;FEY;;LION;49;14500;7200;144;6;2;2;8400;3000;3272;3208;1;13031;23.24;34.94;36,2;BCS1388054;7;16
007598;13.12.2019;13:56:48;Charge to 90% ;23.10.2017;FEY;;LION;49;14500;7200;144;6;2;2;8400;3000;3110;3111;1;13031;23.24;34.24;36,2;BCS1388054;7;16
007598;13.12.2019;15:42:54;Stop          ;23.10.2017;FEY;;LION;49;14500;7200;128;6;23;25;8400;3000;3607;3560;1;12965;31.04;34.64;34,5;BCS1388054;7;16
007598;13.12.2019;15:42:59;Fastcharge    ;23.10.2017;FEY;;LION;49;14500;7200;128;6;23;25;8400;3000;3607;3560;1;13031;31.04;34.64;34,4;BCS1388054;7;16
007598;13.12.2019;21:04:43;Stop          ;23.10.2017;FEY;;LION;49;14500;7200;224;6;95;100;8400;;4166;4165;1;13031;27.74;28.04;31,7;BCS1388054;7;16
