Serialnumber ; Date ; Time ; Action ; Date of Manufacture ; Manufacturer ; Battery Name ; Device-Chemistry ; Specification-Info ; Design-Capacity [mAh] ; Design-Voltage [mV] ; Battery Status ; Cycle Count ; SOC [%] ; Relativ SOC[%] ; Desired Voltage [mV]; Desired Current [mA]; Cell Voltage 1 [mV] ; Cell Voltage 2 [mV] ; Max_Error [%] ; Busvoltage[mV] ; Battery Temperature [°C] ; Charger Temperature [°C] ; Batterysystem ; Case ; PLace
009728;07.12.2020;04:14:17;Cycle         ;04.12.2018;FEY;;LION;49;14500;7200;224;2;98;99;8400;;4124;4125;1;13001;26.04;27.14;30,3;BCS1388054;1;17
009728;08.12.2020;16:19:38;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;224;4;97;100;8400;;4153;4156;1;13000;27.64;28.44;31,9;BCS1388054;1;17
009728;03.03.2021;08:17:35;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;192;4;72;74;8400;3000;3885;3886;1;13014;23.54;23.74;23,6;BCS1388054;5;16
009728;03.03.2021;11:26:36;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;224;4;97;100;8400;;4161;4163;1;13009;29.34;29.84;31,5;BCS1388054;5;16
009728;06.04.2021;08:38:46;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;224;4;96;99;8400;;4133;4134;1;13012;21.04;25.04;28,1;BCS1388054;2;16
009728;06.04.2021;08:39:36;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;224;4;96;99;8400;;4133;4134;1;13009;21.04;25.34;28,2;BCS1388054;2;16
009728;08.04.2021;07:57:57;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;224;4;96;99;8400;;4132;4134;1;13012;25.64;25.24;26,3;BCS1388054;2;16
009728;08.04.2021;07:59:45;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;224;4;96;99;8400;;4132;4134;1;13010;25.64;26.04;26,8;BCS1388054;2;16
009728;08.04.2021;10:35:00;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;224;4;96;99;8400;;4132;4134;1;13012;26.04;25.64;28,1;BCS1388054;2;16
009728;08.04.2021;10:36:53;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;224;4;96;99;8400;;4132;4134;1;13008;26.14;26.64;28,9;BCS1388054;2;16
009728;18.04.2021;08:33:36;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;224;4;95;99;8400;;4128;4130;1;13010;26.54;26.64;27,7;BCS1388054;2;16
009728;18.04.2021;08:33:44;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;224;4;95;99;8400;;4128;4130;1;13010;26.54;26.74;27,8;BCS1388054;2;16
009728;04.08.2021;07:24:55;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;192;4;93;96;8400;;4095;4096;1;13001;30.84;31.04;31,5;BCS1388054;2;16
009728;04.08.2021;07:25:47;Stop          ;04.12.2018;FEY;;LION;49;14500;7200;192;4;93;96;8400;;4095;4096;1;13000;30.84;31.34;31,9;BCS1388054;2;16
009728;22.08.2021;11:08:09;Normalcharge  ;04.12.2018;FEY;;LION;49;14500;7200;192;4;67;70;8400;3000;3845;3847;1;12991;23.74;28.64;32,1;BCS1388054;5;13
